Time,V_D,V_G_Target,I_D,I_G,Light_State,Servo_State
40.528759241104126,1.0,1.0,7.16639e-08,-5.63808e-07,1,0
41.070887088775635,1.0,1.0,7.15148e-08,-5.63874e-07,1,0
41.61239814758301,1.0,1.0,7.03466e-08,-4.89309e-07,1,0
42.15198040008545,1.0,0.0,-5.36442e-11,-5.07731e-07,1,0
42.69151258468628,1.0,0.0,-6.19888e-11,-6.19153e-07,1,0
43.23111152648926,1.0,0.0,-6.55651e-11,-6.01049e-07,1,0
43.770628452301025,1.0,0.0,-7.15256e-11,-5.22425e-07,1,0
44.31023120880127,1.0,0.0,-6.67572e-11,-4.76582e-07,1,0
44.849785804748535,1.0,0.0,-6.07967e-11,-5.6032e-07,1,0
45.38930034637451,1.0,0.0,-5.00679e-11,-6.73824e-07,1,0
45.92885732650757,1.0,0.0,-6.4373e-11,-5.8937e-07,1,0
46.468416690826416,1.0,0.0,-6.4373e-11,-6.02466e-07,1,0
47.0080144405365,1.0,0.0,-6.55651e-11,-5.6924e-07,1,0
47.549564838409424,1.0,1.0,6.96921e-08,-5.30976e-07,1,0
48.09112238883972,1.0,1.0,6.91545e-08,-6.83876e-07,1,0
48.63266038894653,1.0,1.0,6.81388e-08,-5.69291e-07,1,1
49.174314975738525,1.0,1.0,8.30102e-08,-4.5408e-07,1,1
49.71592569351196,1.0,1.0,8.84914e-08,-5.27127e-07,1,1
50.25745987892151,1.0,1.0,9.24921e-08,-6.51778e-07,1,1
50.79909706115723,1.0,1.0,9.64737e-08,-5.39371e-07,1,1
51.3406183719635,1.0,1.0,9.96053e-08,-5.36405e-07,1,1
51.88220691680908,1.0,1.0,1.00948e-07,-6.34134e-07,1,0
52.42377805709839,1.0,1.0,9.26626e-08,-5.39377e-07,1,0
52.96547031402588,1.0,1.0,8.87954e-08,-5.47882e-07,1,0
53.507006883621216,1.0,1.0,8.70705e-08,-6.63283e-07,1,0
54.048561334609985,1.0,1.0,8.49581e-08,-6.1408e-07,1,0
54.59024405479431,1.0,1.0,8.17561e-08,-5.13339e-07,1,0
55.13184094429016,1.0,1.0,8.04985e-08,-6.24395e-07,1,0
55.67343711853027,1.0,1.0,7.85434e-08,-4.77522e-07,1,0
56.21550393104553,1.0,1.0,7.78305e-08,-6.96667e-07,1,0
56.757325410842896,1.0,1.0,7.66301e-08,-5.46269e-07,1,0
57.29893493652344,1.0,1.0,7.4482e-08,-5.82608e-07,1,0
57.84060549736023,1.0,1.0,7.38418e-08,-4.75991e-07,1,0
58.380216121673584,1.0,0.0,-5.36442e-11,-5.43633e-07,1,0
58.91973829269409,1.0,0.0,-5.126e-11,-7.89349e-07,1,0
59.45930075645447,1.0,0.0,-6.19888e-11,-6.2147e-07,1,0
59.99894976615906,1.0,0.0,-5.126e-11,-5.91056e-07,1,0
60.538684606552124,1.0,0.0,-6.55651e-11,-6.17618e-07,1,0
61.07831573486328,1.0,0.0,-4.52995e-11,-4.88079e-07,1,0
61.61789608001709,1.0,0.0,-4.29153e-11,-7.38141e-07,1,0
